pos_class,n_anchor,n_filler,median_anchor,median_filler,share_gt_05_anchor,share_gt_05_filler,cliffs_delta,mannwhitney_p
content,88,270,0.6700084507465356,0.18827503919601402,0.6022727272727273,0.34814814814814815,0.39301346801346804,3.071815388138452e-08
func,136,136,0.978951454162597,0.9695839881896966,0.8602941176470589,0.7279411764705882,0.17517301038062283,0.012538547698033125
