kind,n_anchor,n_filler,median_anchor,median_filler,share_gt_05_anchor,share_gt_05_filler,cliffs_delta,mannwhitney_p
content,41,152,0.58362591266632,0.6677519083023071,0.6341463414634146,0.5921052631578947,-0.07991014120667528,0.4336899285387995
func,70,153,0.9651096463203426,0.37570512294769204,0.7857142857142857,0.43790849673202614,0.4689075630252102,1.9682190889111736e-08
mixed,113,101,0.9893520474433891,0.222577646374702,0.7876106194690266,0.3564356435643564,0.5808288793481118,2.32482443791864e-13
