kind,n_anchor,n_filler,median_anchor,median_filler,share_gt_05_anchor,share_gt_05_filler,cliffs_delta,mannwhitney_p
content,60,194,0.36085151135921456,0.45086295902728957,0.43333333333333335,0.4845360824742268,-0.13230240549828176,0.12180969286228129
func,70,197,0.9651096463203426,0.189215138554573,0.7857142857142857,0.3604060913705584,0.5611312545322698,3.151051925637308e-12
mixed,131,145,0.9638171792030331,0.150395775057265,0.7404580152671756,0.32413793103448274,0.5408265332982363,8.742449942208306e-15
