variant,n_anchor,n_filler,median_anchor,median_filler,mean_anchor,mean_filler,share_gt_05_anchor,share_gt_05_filler,mannwhitney_U,mannwhitney_p,cliffs_delta,n_constructions,n_diff_positive,share_diff_positive,mean_constr_diff,median_constr_diff,sign_test_p,cliffs_delta_ci95,mean_constr_diff_ci95
p_single,224,406,0.9536250233650201,0.4398430734872815,0.7404638727326185,0.4820581818990696,0.7589285714285714,0.4753694581280788,63329.0,3.19983284996173e-16,0.3927032019704433,27,20,0.7407407407407407,0.26255597775447737,0.31535420725450986,0.0191572904586792,"[0.20430322284078073, 0.5670562715964701]","[0.12536085745713407, 0.39320735852584304]"
p_chain,261,536,0.8843913078308101,0.23969093710184053,0.6676268603493378,0.403300595913157,0.6819923371647509,0.39552238805970147,96270.0,6.149744174096531e-18,0.3763081145994167,30,22,0.7333333333333333,0.23190135349092794,0.22426884579603898,0.016124801710247997,"[0.19591727549605725, 0.5386819945652843]","[0.10785261481532817, 0.3556542436026628]"
