pos_class,n_anchor,n_filler,median_anchor,median_filler,share_gt_05_anchor,share_gt_05_filler,cliffs_delta,mannwhitney_p
content,125,398,0.48607453703880305,0.062424825651420005,0.488,0.2814070351758794,0.29905527638190965,4.4933376691007715e-07
func,136,138,0.978951454162597,0.9677307307720181,0.8602941176470589,0.7246376811594203,0.18329070758738286,0.008743901554002226
